,User,CARD INDEX,Retailer ID,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,0,0,24,4344676511950444,12/2022,623,YES,2,$24295,09/2002,2008,No
1,0,1,25,4956965974959986,12/2020,393,YES,2,$21968,04/2014,2014,No
2,0,2,26,4582313478255491,02/2024,719,YES,2,$46414,07/2003,2004,No
3,0,3,20,4879494103069057,08/2024,693,NO,1,$12400,01/2003,2012,No
4,0,4,17,5722874738736011,03/2009,75,YES,1,$28,09/2008,2009,No
5,1,0,20,4404898874682993,09/2003,736,YES,1,$27500,09/2003,2012,No
6,1,1,24,4001482973848631,07/2022,972,YES,2,$28508,02/2011,2011,No
7,1,2,11,5627220683410948,06/2022,48,YES,2,$9022,07/2003,2015,No
8,1,3,17,5711382187309326,11/2020,722,YES,2,$54,06/2010,2015,No
9,1,4,18,5766121508358701,02/2023,908,YES,1,$99,07/2006,2012,No
10,2,0,11,5495199163052054,03/2022,677,YES,2,$31599,10/2009,2009,No
11,2,1,12,5804499644308599,07/2023,258,NO,2,$27480,03/2002,2008,No
12,2,2,13,5766352389579834,02/2020,992,YES,1,$26743,03/2019,2019,No
13,2,3,24,4242015583697294,06/2020,928,YES,1,$31463,04/2014,2014,No
14,2,4,14,5191030913182493,06/2024,360,YES,1,$16055,09/2009,2009,No
15,3,0,20,4017261190134817,05/2015,877,YES,2,$98100,01/2011,2011,No
16,3,1,17,5581970288727991,06/2020,448,YES,1,$62,02/2007,2007,No
17,3,2,24,4032240655674503,06/2022,53,YES,1,$132439,11/2010,2011,No
18,3,3,25,4935974646456357,06/2020,649,YES,1,$125723,10/2009,2010,No
19,4,0,11,5905027855347659,01/2022,886,YES,1,$34900,12/1999,2012,No
20,5,0,20,4099623033306950,09/2021,74,YES,2,$9900,01/2002,2019,No
21,5,1,24,4281200324251212,07/2013,865,YES,2,$21587,09/2007,2007,No
22,5,2,21,4411456925570768,11/2022,922,YES,2,$15800,11/2005,2011,No
23,6,0,11,5202477865497336,04/2022,861,YES,1,$29964,06/2005,2014,No
24,6,1,7,5089768442116305,07/2023,686,YES,2,$11200,09/2010,2010,No
25,6,2,12,5767339719294372,12/2021,669,NO,2,$26753,10/2014,2014,No
26,7,0,24,4595831603224644,05/2023,689,NO,2,$17480,01/2020,2020,No
27,8,0,11,5341049613275152,09/2021,396,YES,2,$26546,11/2009,2009,No
28,8,1,12,5668831527649353,01/2021,356,YES,1,$23253,09/2017,2017,No
29,8,2,20,4400056931148232,02/2021,497,YES,1,$16100,01/2005,2014,No
30,8,3,21,4808554251869440,02/2021,921,YES,2,$8700,01/2012,2012,No
31,8,4,13,5224739362243611,01/2019,922,YES,1,$29333,05/2012,2012,No
32,9,0,11,5294178176133532,07/2024,265,YES,2,$9496,07/2009,2012,No
33,10,0,24,4857799018106614,07/2021,930,YES,1,$25499,02/2020,2020,No
34,10,1,25,4324062360619923,02/2020,358,YES,1,$18641,02/2020,2020,No
