User,Person,Current Age,Age Range,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Income Range,Total Debt,FICO Score,EAD,PD12,PDLT,LGD
0,Hazel Robinson,53,60,66,1966,11,Female,462 Rose Lane,,La Verne,CA,91750,34.15,-117.76,29278,59696,50K - 80K,127613,787,7543.452008519575,0.1025018586626139,0.1481664027355623,0.6089041365030675
1,Nickolas Lopez,21,30,67,1999,2,Male,92196 Tenth Drive,,Leesburg,VA,20176,39.1,-77.55,44196,90104,80K - 100K,85204,787,7543.452008519575,0.1025018586626139,0.1481664027355623,0.6089041365030675
2,Kallie Rodriguez,39,40,71,1980,7,Female,135 Littlewood Avenue,6,Oceanside,CA,92056,33.2,-117.29,22050,44958,20K - 50K,91549,787,7543.452008519575,0.1025018586626139,0.1481664027355623,0.6089041365030675
3,Rylan Rodriguez,33,40,69,1986,10,Female,928 Bayview Street,,Portage,WI,53901,43.54,-89.46,19635,40029,20K - 50K,0,787,7543.452008519575,0.1025018586626139,0.1481664027355623,0.6089041365030675
4,Sasha Sadr,53,60,68,1966,12,Female,3606 Federal Boulevard,,Little Neck,NY,11363,40.76,-73.74,37891,77254,50K - 80K,191349,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
5,Eva Roman,28,30,59,1991,12,Female,7087 Plum Street,,Saint Petersburg,FL,33706,27.75,-82.64,26476,53984,50K - 80K,76118,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
6,Sullivan Brown,18,20,65,2001,9,Male,1335 Norfolk Drive,8,East Falmouth,MA,2536,41.56,-70.55,21335,43499,20K - 50K,108468,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
7,Kai Martinez,22,30,71,1997,6,Male,3132 Lake Avenue,,Carmichael,CA,95608,38.62,-121.32,24781,50525,50K - 80K,118160,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
8,Yousef Barnes,46,50,59,1973,4,Male,8750 Lake Boulevard,,Chardon,OH,44024,41.57,-81.2,25565,52130,50K - 80K,80367,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
9,Alina Braun,25,30,67,1994,8,Female,157 Eighth Street,,Bellevue,WA,98005,47.62,-122.16,43432,88554,80K - 100K,142154,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
10,Maximus Cruz,23,30,65,1996,5,Male,512 Tenth Street,,Holland,MI,49424,42.77,-86.1,21668,44181,20K - 50K,82622,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
11,Ari Phillips,57,60,65,1962,11,Female,4940 Ocean View Drive,,Prichard,WV,25555,38.21,-82.56,17918,36528,20K - 50K,109785,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
12,Mark Merkel,76,80,72,1943,6,Male,93374 11th Street,45,Clinton Township,MI,48036,42.58,-82.91,19780,34408,20K - 50K,9107,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
13,Travis Cook,20,20,69,1999,8,Male,1177 Elm Avenue,,Waterford,NY,12188,42.79,-73.67,24904,50776,50K - 80K,19785,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
14,Randy Sadr,21,30,68,1998,6,Male,2537 Forest Boulevard,,Ennis,TX,75119,32.33,-96.62,18112,36924,20K - 50K,71952,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
15,Aisha Kelly,49,50,68,1970,12,Female,7406 Mill Avenue,,Somerset,CA,95684,38.62,-120.62,19471,39700,20K - 50K,59062,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
16,Esperanza Campbell,52,60,65,1967,8,Female,23 Sussex Lane,,Allenton,MI,48002,42.92,-82.88,20942,42701,20K - 50K,53696,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
17,Ramona Parker,66,70,59,1954,1,Female,1105 Second Drive,,Dearborn,MI,48124,42.31,-83.21,24561,48690,20K - 50K,36262,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
18,Lane Labelle,55,60,67,1964,9,Male,203 Valley Lane,662,Mosinee,WI,54455,44.78,-89.68,23216,47334,20K - 50K,87775,701,8943.997200008855,0.1052918928571428,0.1503106915584415,0.6027009772357723
